ABC,MCMC,SMC
0.736766,6.262715,1.477616
0.3355,6.773694,1.459816
0.493359,6.725027,1.497128
0.427725,6.938111,1.620188
0.444361,8.925346,1.553045
0.773765,6.837922,1.647249
0.367287,6.756087,1.430983
0.467736,7.022987,1.639213
0.428986,6.866683,1.584824
0.44276,6.616448,1.495683
0.838394,6.400002,1.598808
0.355813,6.62311,1.484837
0.31069,7.591536,1.516469
0.627858,7.263038,1.751772
0.35804,7.823479,1.430484
0.454109,6.520865,1.444538
0.367628,6.466281,1.424688
0.402548,6.33409,1.480032
0.469882,6.604226,1.566069
0.341364,6.947488,1.848277
0.495758,7.283238,1.437625
0.369561,6.444245,1.4703
0.935836,6.896662,1.63616
0.310493,6.312499,1.46527
0.390489,6.539735,1.394362
0.374011,6.246622,1.4632
0.431764,6.741796,1.434278
0.467316,6.592153,1.606855
0.354933,6.711365,1.50335
0.382141,6.638241,1.695868
0.421682,6.62484,1.549958
0.46458,7.195476,1.775855
0.466696,6.437683,1.759267
0.319061,6.456271,1.465707
0.409386,6.419906,1.489907
0.36287,6.512906,1.387965
0.385884,6.530033,1.611813
0.466183,6.28572,1.413802
0.448058,6.188114,1.454503
0.33666,6.228923,1.351916
0.398456,6.212229,1.501086
0.407569,6.630995,1.453312
0.626056,7.237743,1.545812
0.360337,6.751807,1.580565
