t,S,I,R
2021-01-11,484.1893,0.6556,5.1551
2021-01-18,483.8553,0.5713,5.5734
2021-01-25,483.5172,0.5843,5.8985
2021-02-01,483.2063,0.561,6.2327
2021-02-08,482.9048,0.4088,6.6864
2021-02-15,482.6019,0.5663,6.8318
2021-02-22,482.2737,0.4615,7.2648
2021-03-01,481.9071,0.479,7.6139
2021-03-08,481.5431,0.4941,7.9628
2021-03-15,481.1627,0.5076,8.3297
2021-03-22,480.7429,0.5388,8.7183
2021-03-29,480.1805,0.7018,9.1177
2021-04-05,479.508,0.8628,9.6292
