ABC,MCMC,SMC
0.407122,0.435098,0.379366
0.277876,0.457853,0.327217
0.923613,0.450609,0.397584
0.444477,0.424792,0.344576
0.342161,0.439493,0.378816
0.2549,0.455778,0.331962
0.452823,0.440384,0.350948
0.304173,0.448612,0.369594
0.260571,0.446602,0.376263
0.417682,0.428204,0.341791
0.19785,0.422363,0.335182
0.411094,0.43429,0.384173
0.516293,0.428486,0.391875
0.220735,0.424641,0.377797
0.391189,0.428756,0.345806
4.780153,0.433249,0.369806
0.338911,0.435593,0.332415
0.283836,0.42685,0.339773
0.363879,0.429794,0.450287
0.962386,0.429509,0.375369
0.177952,0.433447,0.337807
0.375603,0.456132,0.353945
0.206182,0.451561,0.336465
0.272057,0.42511,0.326933
0.23853,0.425006,0.328193
0.273928,0.425229,0.333515
1.453764,0.430801,0.340895
0.46949,0.423571,0.332933
0.416521,0.429137,0.364429
0.226637,0.431714,0.371976
0.265065,0.45445,0.335828
0.496622,0.431497,0.374406
0.212435,0.426232,0.374502
0.219142,0.429084,0.369195
0.220908,0.427665,0.368921
0.802556,0.428286,0.331594
0.269701,0.429007,0.337619
0.409839,0.453797,0.340769
0.280535,0.425119,0.335352
0.389635,0.428745,0.333318
0.458992,0.426238,0.335684
1.128697,0.431288,0.34089
0.537669,0.42193,0.327029
0.414241,0.427461,0.333332
0.489565,0.423056,0.337547
0.423787,0.429048,0.36243
0.366231,0.422873,0.345332
0.339127,0.429,0.335533
1.783769,0.429818,0.369273
0.464431,0.426917,0.347973
0.303159,0.430288,0.348835
0.245903,0.428193,0.33664
0.228036,0.426561,0.379705
0.432611,0.425283,0.329765
0.499996,0.45695,0.355216
2.26043,0.488517,0.373803
0.266805,0.49247,0.382602
0.384979,0.429277,0.350174
0.429453,0.435096,0.380119
0.278742,0.460589,0.342165
0.468434,0.432691,0.373023
0.290863,0.44186,0.367539
0.221414,0.434005,0.38368
0.293615,0.462991,0.351336
0.201404,0.457886,0.32518
0.267103,0.435555,0.331385
0.325922,0.442311,0.345523
0.404404,0.428153,0.366556
0.287693,0.457227,0.346202
0.39262,0.42924,0.352864
0.537126,0.432862,0.33817
0.813325,0.439628,0.365897
0.194118,0.436873,0.377201
0.391295,0.427511,0.343484
0.237144,0.443687,0.336326
0.322388,0.427158,0.360014
1.114118,0.45498,0.38323
0.343805,0.426293,0.327929
0.398619,0.429667,0.333467
0.242296,0.42539,0.377516
0.217394,0.42795,0.382712
0.32911,0.448427,0.325749
0.390303,0.43189,0.337362
0.347043,0.433687,0.389341
0.271289,0.533523,0.336163
0.304924,0.420696,0.330486
0.351474,0.421348,0.334335
0.456467,0.429245,0.332234
0.379128,0.466936,0.338741
0.553977,0.423028,0.366456
0.20534,0.44643,0.334262
0.430305,0.419868,0.32485
0.229239,0.420412,0.33036
0.248853,0.418394,0.33722
0.238847,0.421733,0.327843
0.294418,0.421843,0.362626
0.228467,0.420126,0.362872
4.71329,0.451606,0.336433
